2factor,two factor
2way,two way
aapl,Apple
acct,account
accts,accounts
admins,administrators
admns,administrators
ai,artificial intelligence
amzn,Amazon
anniv,anniversary
api,application program interface
approx,approximately
appt,appointment
apr,April
asap,as soon as possible
async,asynchronous
aug,August
auth,authentication
authen,authentication
auths,authentications
avg,average
aws,Amazon Web Services
b2b,business to business
b2c,business to consumer
batt,battery
bc,because
biz,business
bldg,building
btw,by the way
cdo,chief data officer
ceo,chief executive officer
cfo,chief financial officer
cio,chief information officer
cmo,chief marketing officer
cms,content management system
cob,close of business
combo,combination
comm,communication
comms,communications
compat,compatible
config,configuration
configs,configurations
coo,chief operating officer
crm,customer relationship management
css,cascading style sheet
cta,call to action
cto,chief technology officer
ctr,click through rate
da,data analyst
db,database
de,data engineer
dec,December
demos,demonstrations
dept,department
devs,developers
dissat,dissatisfaction
distro,distribution
doc,document
docs,documents
droid,Android
ds,data science
dunno,do not know
edu,education
eg,for example
eod,end of day
eow,end of week
eps,earnings per share
esp,especially
eta,estimated time of arrival
exec,executive
execs,executives
exp,experience
f2f,face to face
face2face,face to face
fb,FaceBook
feb,February
fifo,first in first out
fri,Friday
fte,full time employee
ftes,full time employees
fyi,for your information
gen,generation
goog,Google
gov,government
govt,government
gui,graphical user interface
hq,headquarter
hr,human resources
hrs,hours
iaas,infrastructure as a service
im,instant messaging
imho,in my opinion
imo,in my opinion
incl,including
info,information
infra,infrastructure
intro,introduction
ipo,initial public offering
isp,internet service provider
jan,January 
jul,July
jun,June
kinda,kind of
kpi,key performance indicator
kpis,key performance indicators
legit,legitimate
lifo,last in first out
mar,March
mfa,multi factor authentication
mgt,management
mgmt,management
mgr,manager
mgrs,managers
mic,microphone
mics,microphones
mins,minutes
mkt,market
ml,machine learning
mon,Monday
msft,Microsoft
msg,message
msgs,messages
mtg,meeting
mtng,meeting
mtgs,meetings
mtngs,meetings
neo,new employee orientation
nflx,Netflix
nov,November
o365,Office365
oct,October
oof,out of office
ooo,out of office
org,organization
orgs,organizations
paas,platform as a service
pbi,PowerBI
pbix,PowerBI
pc,personal computer
pcard,purchase card
pcs,personal computers
pic,picture
pics,pictures
pkg,package
pls,please
plz,please
pm,project manager
poc,proof of concept
ppl,people
ppt,Powerpoint
pptx,Powerpoint
pr,public relations
prev,previous
prod,production
promo,promotion
pte,part time employee
pto,paid time off
pwd,password
qa,quality assurance
qtr,quarter
qtrly,quarterly
r&d,research and development
re,referring to
repo,repository
repos,repositories
req,requirement
reqs,requirements
roa,return on assets
roe,return on equity
roi,return on investment
saas,software as a service
sat,Saturday
sde,software development engineer
sep,September
sept,September
sorta,sort of
swe,software engineer
thu,Thursday
thur,Thursday
thurs,Thursday
thx,thanks
tmw,tomorrow
tue,Tuesday
tues,Tuesday
txt,text
ui,user interface
ux,user experience
vs,versus
wed,Wednesday 
wfh,work from home
wrt,with respect to
ww,worldwide
xls,Excel
xlsx,Excel
yr,year
yrs,years
ytd,year to date
